cmb-cat,cat_move_in_no,new_no,move_out_no,new_total
P-I-T-PA-S-B,0,0,0,0
P-I-T-PA-S-C,0,0,2,0
P-I-T-PA-S-OE,0,0,1,1
T-PA,1,1,6,44
PA-OE-C,0,0,0,0
I-T-PA-TECH-OE,0,0,0,2
I-PA,15,1,30,106
P-PA-TECH-OE-B-C,0,0,0,0
PA-OE,0,0,1,1
I-PA-OE,1,0,1,4
P-I-TECH-OE-B,0,0,0,0
P-I-TECH-OE-C,0,0,0,0
I-TECH-OE,0,0,0,3
P-I-PA-TECH-S-OE-B-C,0,0,3,2
P-I-OE-B-C,0,0,0,0
TECH-S-OE-C,0,0,0,0
T-PA-TECH-C,0,0,0,0
T-PA-TECH-B,0,0,0,0
P-I-T-OE,0,0,2,7
TECH-S-OE-B,1,0,0,1
T-PA-TECH-S,1,0,1,15
P-OE-B-C,0,0,0,0
I-S-OE-C,2,0,1,5
I-S-OE-B,1,0,0,1
P-S-B,0,0,0,1
P-S-C,0,0,0,0
P-I-T-PA-S,2,0,5,8
P-T-C,0,0,0,0
P-T-B,0,0,0,0
P-PA-S-C,0,0,0,0
P-PA-S-B,0,0,0,0
P-I-T-PA-B,0,0,0,0
P-I-T-PA-C,0,0,0,0
P-T-S,1,0,0,9
I-S-C,2,0,1,13
I-S-B,0,0,3,13
P-I-T-PA-TECH-S-B,0,0,0,0
P-I-T-PA-TECH-S-C,0,0,3,1
P-PA-TECH-S-C,0,0,0,0
P-PA-TECH-S-B,0,0,0,0
P-I-T-TECH-OE-B,0,0,0,0
P-I-PA-TECH-S-C,0,0,1,1
P-I-PA-TECH-S-B,0,0,2,0
T-S-B,0,0,0,1
T-S-C,1,0,0,3
I-T-TECH-S,3,0,1,20
T-PA-TECH-OE-C,0,0,0,0
T-PA-TECH-OE-B,0,0,0,0
P-PA-TECH-S-OE,0,0,1,0
P-B-C,0,0,0,1
I-T-TECH-B,0,0,0,0
P-T-PA-S-OE,0,0,0,4
TECH-OE-B-C,0,0,0,0
I-PA-S-OE-B-C,3,0,2,11
T-TECH-B-C,0,0,0,0
P-T-PA-OE,0,0,0,2
P-T-TECH-OE-B-C,0,0,0,0
P-I-T-PA-TECH-B-C,0,0,0,0
P-I-PA,0,0,14,3
P-T-TECH-S-OE-B-C,0,0,0,0
P-I-T-PA-TECH-OE-B,0,0,0,0
P-I-T-PA-TECH-OE-C,0,0,0,0
P-T-PA-S-OE-B-C,0,0,0,0
T-PA-TECH-OE,0,0,0,1
P-T-PA-S-B,0,0,0,0
P-T-PA-S-C,0,0,0,1
PA-TECH-S-OE,0,0,0,2
T-PA-TECH-S-C,1,0,0,2
T-PA-S-OE-B-C,0,0,0,1
S-B-C,4,0,1,123
I-T-TECH-S-B-C,0,0,1,0
P-I-PA-TECH-OE,0,0,0,0
P-PA-S-B-C,0,0,1,0
P-I-PA-TECH-B-C,0,0,0,0
P-T-PA-TECH-S-B-C,0,0,0,0
I-T-PA-TECH-S,3,0,2,20
P-PA-TECH-OE-C,0,0,0,0
P-PA-TECH-OE-B,0,0,0,0
P-S-OE,0,0,0,1
T-PA-TECH,0,0,0,2
P-S-B-C,2,0,1,3
I-T-PA-TECH-C,0,0,0,0
I-T-PA-TECH-S-B-C,1,0,0,5
I-T-TECH-S-OE-B-C,0,0,0,1
I-T-TECH-C,0,0,0,1
T-TECH-S-B-C,1,0,0,3
I-T-PA-TECH-B-C,0,0,0,0
T-TECH-S-B,0,0,0,1
I-S-B-C,4,0,2,11
P-T-PA-TECH-B-C,0,0,0,0
I-T-S-OE,3,0,1,9
I-T-TECH-OE-B,0,0,0,1
I-T-TECH-OE-C,1,0,0,1
PA-TECH-S-B-C,0,0,0,3
P-I-T-PA-OE,0,0,0,0
P-T-S-C,0,0,0,1
P-T-S-B,0,0,0,0
T-TECH,0,0,0,42
P-T-PA-TECH-OE-B,0,0,0,0
P-T-PA-TECH-OE-C,0,0,0,0
P-I-T-PA-S-OE-B,0,0,0,1
P-I-T-PA-S-OE-C,0,0,5,2
P-T-TECH-OE-C,0,0,0,0
P-I-S-OE-B-C,0,0,0,1
P-T-TECH-OE-B,0,0,0,0
I-T-PA-S-OE-B-C,0,0,0,5
P-T-OE,0,0,2,8
P-T-PA-TECH-S-OE,1,0,0,4
I-PA-S-OE,3,0,2,27
P-T-PA-TECH,0,0,0,0
I,116,23,11,2351
P-PA-TECH,0,0,0,0
I-T-S-OE-B,0,0,0,0
I-T-S-OE-C,1,0,2,2
P-TECH-B,0,0,0,0
P-I-T-B-C,0,0,0,0
I-S-OE-B-C,0,0,1,2
P-I-T-TECH-C,0,0,0,1
P-I-T-TECH-B,0,0,0,0
T-PA-S-OE,0,0,0,8
P-TECH-S,1,0,1,2
T-PA-TECH-S-OE-B,0,0,0,0
P-I-T-TECH-S,0,0,1,3
P-I-T-OE-C,0,0,0,0
P-I-T-OE-B,0,0,0,1
I-C,0,0,1,7
I-B,1,0,0,4
PA-S-OE-B,2,0,0,3
PA-S-OE-C,4,0,0,6
P-I-T-TECH-OE-C,0,0,1,0
P-I-T-PA-TECH,0,0,2,2
I-S,39,0,17,241
I-T,25,0,8,488
I-PA-TECH-S-OE,3,0,1,9
PA-B-C,0,0,1,1
P-PA-TECH-S-B-C,0,0,0,0
P-T-PA-S,1,0,1,4
P-PA-TECH-OE,0,0,0,0
P-T-PA-TECH-S-OE-B-C,0,0,0,0
P-T-PA-B,0,0,0,0
P-T-PA-C,0,0,0,0
P-PA-S,0,0,0,5
P-PA-B-C,0,0,1,0
P-I-PA-TECH-C,0,0,0,0
P-I-PA-TECH-B,0,0,0,0
P-T-B-C,0,0,0,1
P-T-PA,0,0,1,1
P-PA-C,0,0,0,0
P-PA-B,0,0,0,0
I-T-PA-S-OE-C,4,0,1,7
I-T-PA-S-OE-B,0,0,0,2
P-I-T-PA-OE-B,0,0,0,0
P-I-T-PA-OE-C,0,0,0,0
P-I-T-TECH-S-OE-C,1,0,0,1
B,0,0,0,49
P-I-T-S-C,0,0,0,0
P-I-T-S-B,0,0,0,0
P-I-T-S-B-C,0,0,0,0
P-I-PA-TECH-S,0,0,1,0
P-I-B,0,0,2,0
P-I-C,0,0,0,0
T-S-OE,1,0,0,7
P-I-S,2,0,10,9
P-I-T,4,0,14,67
P-I-T-TECH-S-OE-B-C,0,0,0,0
P-I-T-PA-TECH-S-OE,1,0,6,4
I-T-PA-OE-C,0,0,0,1
I-T-PA-OE-B,0,0,0,0
PA-S-B,0,0,1,4
I-PA-TECH-S,3,0,6,34
PA-TECH-S-OE-B-C,1,0,0,2
P-I-T-TECH-S-OE-B,0,0,0,0
I-PA-TECH-B,0,0,0,0
I-PA-TECH-C,0,0,0,0
P-I-PA-S-B-C,0,0,1,0
PA-TECH-S-OE-B,0,0,0,0
PA-TECH-S-OE-C,0,0,0,1
P-I-PA-OE,0,0,1,1
P-I-B-C,0,0,0,0
I-T-TECH-OE-B-C,0,0,0,0
P-I-T-PA-OE-B-C,0,0,0,0
P-I-TECH-S-B,0,0,0,0
P-I-TECH-S-C,0,0,0,2
P-T-OE-B-C,0,0,0,0
I-S-OE,4,0,2,24
P-I-T-PA-B-C,0,0,0,0
P-I-PA-OE-B-C,0,0,0,0
I-PA-TECH-S-OE-B-C,2,0,2,5
T-PA-TECH-B-C,0,0,0,0
S-OE-C,1,0,0,6
S-OE-B,0,0,0,1
P-T-PA-TECH-OE-B-C,0,0,0,0
P-T-PA-TECH-S-B,0,0,0,0
P-T-PA-TECH-S-C,0,0,0,1
P-I-T-TECH-S-B-C,0,0,0,2
B-C,0,0,0,99
I-TECH-S-OE-C,0,0,0,0
I-TECH-S-OE-B,0,0,0,1
TECH-S-C,0,0,0,1
TECH-S-B,0,0,0,2
P-I-T-PA-TECH-S-B-C,0,0,1,4
P-I-TECH-B-C,0,0,0,1
S-OE,4,0,0,24
P-I-PA-TECH-OE-B-C,0,0,0,0
T-TECH-S-OE,2,0,0,5
I-T-PA,3,0,6,41
T-B-C,0,0,0,1
P-OE,0,0,1,4
P-I-TECH-S-OE-B,0,0,1,0
P-I-TECH-S-OE-C,0,0,0,0
T-S-B-C,1,0,0,2
I-PA-TECH-S-B,2,0,0,5
I-PA-TECH-S-C,1,0,2,7
I-TECH-B-C,0,0,0,0
I-TECH,13,0,2,96
PA-TECH-OE-B,0,0,0,0
PA-TECH-OE-C,0,0,0,0
I-TECH-S-C,1,0,0,6
I-TECH-S-B,0,0,0,4
PA,0,5,22,42
I-PA-S-B-C,1,0,8,4
P-TECH-S-B-C,0,0,0,0
P-I-PA-TECH-S-B-C,0,0,1,0
T-OE-B,0,0,0,0
T-OE-C,0,0,0,2
C,0,1,0,30
I-PA-S-OE-B,0,0,2,0
I-PA-S-OE-C,3,0,4,8
TECH-S,6,0,0,31
I-T-TECH-S-OE-B,0,0,0,0
I-T-TECH-S-OE-C,1,0,1,2
P-I-PA-TECH-S-OE-C,0,0,0,2
P-I-PA-TECH-S-OE-B,1,0,1,1
I-PA-TECH-OE-B-C,0,0,0,0
T-TECH-S,2,0,0,12
P-I-S-OE,2,0,1,5
S,39,6,0,249
I-T-TECH-S-B,0,0,0,0
I-T-TECH-S-C,1,0,0,3
T-TECH-B,0,0,0,0
T-TECH-C,0,0,0,0
P-PA-TECH-S-OE-C,0,0,0,0
P-PA-TECH-S-OE-B,0,0,0,0
P-T-S-B-C,0,0,0,0
P-TECH-OE-B-C,0,0,0,0
P-I-PA-B-C,0,0,0,0
PA-S-B-C,2,0,0,8
P-PA-S-OE-B-C,0,0,2,0
I-T-PA-TECH,2,0,2,6
I-T-OE-B-C,0,0,0,0
T-TECH-S-OE-B-C,0,0,0,0
PA-S-C,1,0,2,10
T-TECH-S-OE-B,0,0,0,0
T-TECH-S-OE-C,1,0,0,1
I-T-PA-TECH-B,0,0,1,0
S-OE-B-C,2,0,1,7
T-PA-OE-C,0,0,0,0
T-PA-OE-B,0,0,0,0
P-T-TECH-S-OE,0,0,0,0
TECH-S-B-C,0,0,0,3
T-TECH-OE-B-C,0,0,0,0
P-I-T-PA-TECH-OE-B-C,0,0,0,0
P-T-TECH-S-C,0,0,0,0
I-T-PA-TECH-OE-B-C,0,0,0,0
I-TECH-S-OE-B-C,0,0,0,2
P-T-TECH-S-B,0,0,0,0
I-PA-TECH-OE-B,0,0,0,0
I-PA-TECH-OE-C,0,0,0,0
P-I-S-B,0,0,0,0
P-I-S-C,0,0,1,1
P-T-S-OE,1,0,0,2
TECH-OE,0,0,0,6
P-S-OE-B,0,0,0,0
P-S-OE-C,0,0,0,0
PA-TECH,0,0,0,5
P-C,0,0,0,1
P-T-PA-S-B-C,0,0,0,1
I-TECH-OE-B-C,0,0,0,0
I-T-PA-OE-B-C,0,0,0,0
P-I-OE-B,0,0,0,0
P-I-OE-C,0,0,0,0
P-I-T-PA-S-OE-B-C,0,0,1,2
T-PA-TECH-OE-B-C,0,0,0,0
I-T-B-C,0,0,0,0
P-T-S-OE-C,0,0,0,0
I-T-PA-S-B-C,0,0,0,1
P-I-T-PA-TECH-OE,0,0,1,0
T-TECH-S-C,0,0,0,0
P-T-PA-TECH-S-OE-B,0,0,0,0
P-T-PA-TECH-S-OE-C,0,0,0,1
P-I-T-TECH,1,0,12,12
P-T-PA-S-OE-B,0,0,0,0
P-T-PA-S-OE-C,1,0,0,1
P-TECH-S-OE,0,0,0,0
P-I-TECH-OE,0,0,0,1
T-S,8,0,0,69
PA-TECH-B-C,0,0,0,0
T-S-OE-B-C,0,0,0,1
P-I-T-S,3,0,7,9
P-T-OE-C,1,0,0,2
P-T-OE-B,0,0,0,0
T-B,0,0,0,0
T-C,0,0,0,5
P-I-T-C,0,0,0,2
P-I-T-B,0,0,0,0
P-I-PA-TECH,0,0,7,0
I-PA-TECH,7,0,5,12
I-PA-S-B,0,0,1,4
I-PA-S-C,4,0,2,19
P-PA,0,0,1,7
P-T-TECH-S-B-C,0,0,0,0
TECH-B-C,0,0,0,2
P-I-T-TECH-B-C,0,0,1,0
I-T-S-OE-B-C,2,0,0,2
P-I-S-B-C,0,0,0,0
TECH-C,0,0,0,0
TECH-B,0,0,0,0
OE-C,0,0,0,1
OE-B,0,0,0,0
P-I-T-S-OE-B-C,0,0,1,1
P-I-PA-S-OE-C,0,0,2,0
P-I-PA-S-OE-B,0,0,0,0
I-OE,5,0,1,31
P-T-S-OE-B,0,0,0,0
OE-B-C,0,0,0,0
P-I-T-PA-TECH-S-OE-B,0,0,0,1
P-I-T-PA-TECH-S-OE-C,0,0,3,5
I-T-PA-TECH-S-OE-C,2,0,0,4
I-T-PA-TECH-S-OE-B,0,0,0,0
P-TECH-B-C,0,0,0,1
T-TECH-OE,0,0,0,5
T,6,8,3,1540
I-T-PA-TECH-S-OE,5,0,3,9
P-T-PA-OE-B,0,0,0,0
P-T-PA-OE-C,0,0,0,0
T-PA-TECH-S-OE,0,0,1,5
P-T-TECH-B-C,0,0,0,0
I-T-PA-C,0,0,0,1
I-T-PA-B,0,0,0,0
OE,0,1,1,122
T-S-OE-C,1,0,0,1
P-PA-S-OE,0,0,0,1
I-T-PA-S,7,0,3,45
T-PA-C,0,0,0,0
T-PA-B,0,0,0,2
T-PA-S,2,0,0,31
I-T-S-B,0,0,0,2
I-T-S-C,0,0,0,2
I-PA-B-C,0,0,0,0
PA-S-OE-B-C,3,0,1,5
T-PA-TECH-S-OE-B-C,0,0,0,0
P-OE-B,0,0,0,0
P-OE-C,0,0,0,0
I-B-C,1,0,1,1
P-PA-TECH-S,0,0,0,0
P-I-PA-S-C,0,0,3,1
P-I-PA-S-B,0,0,0,0
I-OE-B-C,0,0,0,0
P-I-T-PA-TECH-B,0,0,0,0
P-I-T-PA-TECH-C,0,0,0,0
TECH-S-OE-B-C,1,0,0,1
P-PA-TECH-C,0,0,0,0
P-PA-TECH-B,0,0,0,0
TECH-OE-C,0,0,0,0
TECH-OE-B,0,0,1,0
P-I-T-PA-TECH-S,0,0,1,6
P-T-PA-TECH-B,0,0,0,0
P-T-PA-TECH-C,0,0,0,0
P-T-TECH,1,0,1,10
I-T-PA-S-OE,2,0,0,15
P-T-S-OE-B-C,0,0,0,0
P-T-PA-TECH-S,0,0,0,1
PA-TECH-S-B,0,0,0,0
P-I-PA-S-OE-B-C,0,0,1,0
P-I-PA-OE-C,0,0,0,0
P-I-PA-OE-B,0,0,0,0
P-I-TECH-B,0,0,0,0
P-I-TECH-C,0,0,0,0
P-T-PA-OE-B-C,0,0,0,0
I-PA-TECH-OE,0,0,0,1
P-I-T-PA-TECH-S-OE-B-C,0,0,2,3
P-I-TECH-S,1,0,5,3
I-TECH-OE-C,0,0,0,0
I-TECH-OE-B,0,0,0,1
T-OE-B-C,0,0,0,0
I-T-OE-B,0,0,0,0
I-T-OE-C,0,0,0,0
P-I-TECH-S-OE,0,0,0,1
PA-OE-B-C,0,0,0,0
T-PA-OE,1,0,0,4
P-S-OE-B-C,0,0,0,0
P-I-T-PA-S-B-C,0,0,0,1
P-I-T-TECH-S-C,1,0,1,3
P-I-T-TECH-S-B,0,0,0,0
I-T-PA-B-C,0,0,0,0
P-T-TECH-C,0,0,0,0
P-T-TECH-B,0,0,0,0
I-PA-S,27,0,15,113
P-I-PA-C,0,0,0,1
P-I-PA-B,0,0,0,0
T-PA-S-C,0,0,1,3
T-PA-S-B,0,0,0,0
TECH,0,4,1,191
P-T-TECH-S,0,0,0,2
I-PA-B,0,0,0,3
I-PA-C,0,0,0,3
P-I-PA-S,0,0,13,3
P-I-TECH,0,0,7,7
I-OE-C,0,0,0,3
I-OE-B,0,0,0,0
T-PA-TECH-S-B-C,0,0,0,0
I-PA-TECH-B-C,0,0,0,0
I-T-OE,4,0,2,25
P-I-T-S-OE,0,0,1,5
I-PA-OE-B,0,0,0,0
I-PA-OE-C,0,0,0,0
P-PA-OE-C,0,0,0,0
P-PA-OE-B,0,0,0,0
P-I-TECH-S-OE-B-C,0,0,0,0
P-T,0,1,9,67
P-S,0,0,1,4
PA-TECH-OE-B-C,0,0,0,0
P-B,0,0,0,0
I-T-TECH-OE,0,0,0,4
P-I,2,0,68,35
P-I-T-TECH-OE,1,0,0,3
T-PA-S-B-C,0,0,0,0
PA-S-OE,1,0,1,11
TECH-S-OE,0,0,0,2
P-I-T-TECH-OE-B-C,0,0,0,0
I-T-PA-TECH-S-OE-B-C,2,0,0,6
I-PA-TECH-S-B-C,1,0,0,10
T-PA-TECH-S-B,0,0,0,0
I-TECH-S-B-C,0,0,0,2
T-TECH-OE-B,0,0,0,0
T-TECH-OE-C,0,0,0,0
I-TECH-S,12,0,4,51
PA-TECH-OE,0,0,0,0
I-T-PA-OE,0,0,3,3
I-TECH-S-OE,2,0,0,9
P-I-PA-TECH-OE-C,0,0,0,0
P-I-PA-TECH-OE-B,0,0,0,0
I-TECH-C,0,0,0,4
I-TECH-B,0,0,0,1
P-TECH-OE-B,0,0,0,0
P-TECH-OE-C,0,0,0,0
I-T-PA-TECH-OE-C,0,0,0,0
I-T-PA-TECH-OE-B,0,0,0,0
