Category Group,Num.of.Cust
T-PA-TECH-S-OE-B,0
T-PA-S-OE-B,1
T-PA-S-C,4
T-PA-TECH-S-C,1
T-PA-TECH-S-OE-C,0
T-PA-S-OE-C,0
T-PA-TECH-S,15
T-PA-TECH-S-OE,6
T-PA-S-OE,8
T-PA-B,2
T-PA-B-C,1
T-PA-TECH-B-C,0
T-PA-TECH-OE-B-C,0
T-PA-OE-B-C,0
T-PA-TECH-B,0
T-PA-TECH-OE-B,0
T-PA-OE-B,0
T-PA-C,0
T-PA-TECH-C,0
T-PA-TECH-OE-C,0
T-PA-OE-C,0
T-PA-TECH,2
T-PA-TECH-OE,1
T-PA-OE,3
T-S,61
T-S-B,1
T-S-B-C,1
T-TECH-S-B-C,2
T-TECH-S-OE-B-C,0
T-S-OE-B-C,1
T-TECH-S-B,1
T-TECH-S-OE-B,0
T-S-OE-B,0
T-S-C,2
T-TECH-S-C,0
T-TECH-S-OE-C,0
T-S-OE-C,0
T-TECH-S,10
T-TECH-S-OE,3
T-S-OE,6
T-B,0
T-B-C,1
T-TECH-B-C,0
T-TECH-OE-B-C,0
T-OE-B-C,0
T-TECH-B,0
T-TECH-OE-B,0
T-OE-B,0
T-C,5
T-TECH-C,0
T-TECH-OE-C,0
T-OE-C,2
T-TECH,42
T-TECH-OE,5
T-OE,34
PA,59
PA-S,51
PA-S-B,5
PA-S-B-C,6
PA-TECH-S-B-C,3
PA-TECH-S-OE-B-C,1
PA-S-OE-B-C,3
PA-TECH-S-B,0
PA-TECH-S-OE-B,0
PA-S-OE-B,1
PA-S-C,11
PA-TECH-S-C,2
PA-TECH-S-OE-C,1
PA-S-OE-C,2
PA-TECH-S,6
PA-TECH-S-OE,2
PA-S-OE,11
PA-B,5
PA-B-C,2
PA-TECH-B-C,0
PA-TECH-OE-B-C,0
PA-OE-B-C,0
PA-TECH-B,0
PA-TECH-OE-B,0
PA-OE-B,0
PA-C,3
PA-TECH-C,1
PA-TECH-OE-C,0
PA-OE-C,0
PA-TECH,5
PA-TECH-OE,0
PA-OE,2
S,204
S-B,19
S-B-C,120
TECH-S-B-C,3
TECH-S-OE-B-C,0
S-OE-B-C,6
TECH-S-B,2
TECH-S-OE-B,0
S-OE-B,1
S-C,17
TECH-S-C,1
TECH-S-OE-C,0
S-OE-C,5
TECH-S,25
TECH-S-OE,2
S-OE,20
B,49
B-C,99
TECH-B-C,2
TECH-OE-B-C,0
OE-B-C,0
TECH-B,0
TECH-OE-B,1
OE-B,0
C,29
TECH-C,0
TECH-OE-C,0
OE-C,1
TECH,188
TECH-OE,6
OE,122
